id,prod_id,model,total
3305,873,Air,140
3306,873,Force,43
3307,873,1,310
3308,873,Low,278
3309,874,Nike,373
3310,874,SB,23
3311,874,Dunk,178
3312,874,Low,278
3313,875,Jordan,383
3314,875,1,310
3315,875,Retro,224
3316,875,High,115
3317,876,Jordan,383
3318,876,3,19
3319,876,Retro,224
3320,877,Crocs,6
3321,877,Classic,4
3322,877,Clog,6
3323,878,Jordan,383
3324,878,1,310
3325,878,High,115
3326,878,Zoom,11
3327,878,Air,140
3328,878,CMFT,7
3329,879,Jordan,383
3330,879,8,2
3331,879,Retro,224
3332,880,adidas,126
3333,880,Velosamba,1
3334,881,Nike,373
3335,881,Air,140
3336,881,VaporMax,11
3337,881,Plus,8
3338,882,New,57
3339,882,Balance,57
3340,882,2002R,13
3341,883,Nike,373
3342,883,Air,140
3343,883,Max,55
3344,883,2013,3
3345,884,Nike,373
3346,884,Dunk,178
3347,884,High,115
3348,885,adidas,126
3349,885,Yeezy,92
3350,885,Boost,48
3351,885,700,14
3352,886,Jordan,383
3353,886,1,310
3354,886,Retro,224
3355,886,AJKO,3
3356,887,Jordan,383
3357,887,1,310
3358,887,Mid,113
3359,887,SE,41
3360,888,Jordan,383
3361,888,1,310
3362,888,Low,278
3363,889,Nike,373
3364,889,Air,140
3365,889,Max,55
3366,889,1,310
3367,889,SH,1
3368,890,Jordan,383
3369,890,1,310
3370,890,Retro,224
3371,890,High,115
3372,891,Jordan,383
3373,891,1,310
3374,891,Low,278
3375,891,SE,41
3376,892,Jordan,383
3377,892,1,310
3378,892,Low,278
3379,893,Jordan,383
3380,893,1,310
3381,893,Low,278
3382,894,New,57
3383,894,Balance,57
3384,894,2002R,13
3385,895,Nike,373
3386,895,Air,140
3387,895,Max,55
3388,895,270,4
3389,895,React,5
3390,896,Nike,373
3391,896,Blazer,21
3392,896,Mid,113
3393,896,Infinite,1
3394,897,Nike,373
3395,897,Air,140
3396,897,VaporMax,11
3397,897,2021,5
3398,897,FK,4
3399,898,Nike,373
3400,898,Air,140
3401,898,Force,43
3402,898,1,310
3403,898,Low,278
3404,898,Crater,1
3405,898,Flyknit,6
3406,899,Nike,373
3407,899,Dunk,178
3408,899,Low,278
3409,900,Jordan,383
3410,900,1,310
3411,900,High,115
3412,900,OG,39
3413,901,Jordan,383
3414,901,1,310
3415,901,Low,278
3416,902,Jordan,383
3417,902,1,310
3418,902,Mid,113
3419,903,Nike,373
3420,903,SB,23
3421,903,Dunk,178
3422,903,High,115
3423,904,Nike,373
3424,904,Blazer,21
3425,904,Mid,113
3426,904,77,12
3427,904,Vintage,5
3428,905,Jordan,383
3429,905,1,310
3430,905,Mid,113
3431,905,SE,41
3432,906,New,57
3433,906,Balance,57
3434,906,2002R,13
3435,907,Jordan,383
3436,907,1,310
3437,907,Mid,113
3438,908,Nike,373
3439,908,Dunk,178
3440,908,High,115
3441,909,Jordan,383
3442,909,1,310
3443,909,Mid,113
3444,910,adidas,126
3445,910,Yeezy,92
3446,910,Slide,16
3447,911,Nike,373
3448,911,Air,140
3449,911,Max,55
3450,911,1,310
3451,912,New,57
3452,912,Balance,57
3453,912,990v5,2
3454,913,Nike,373
3455,913,Blazer,21
3456,913,Mid,113
3457,914,New,57
3458,914,Balance,57
3459,914,2002R,13
3460,915,Jordan,383
3461,915,6,20
3462,915,Retro,224
3463,916,Nike,373
3464,916,Blazer,21
3465,916,Mid,113
3466,916,77,12
3467,917,Nike,373
3468,917,Vaporwaffle,2
3469,918,Jordan,383
3470,918,5,22
3471,918,Retro,224
3472,919,Jordan,383
3473,919,1,310
3474,919,Retro,224
3475,919,High,115
3476,919,85,3
3477,920,Jordan,383
